Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite
051.00494,WOELLNER FRANCE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),11500.000,t/an
051.00507,Chaufferie ZUP St Quentin,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),11500.000,t/an
051.00507,Chaufferie ZUP St Quentin,2015,Air,CO2 Total d'origine biomasse uniquement,11500.000,t/an
051.00521,TEREOS,2015,Air,Composés organiques volatils non méthaniques (COVNM),260000,kg/an
051.00521,TEREOS,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),302000,kg/an
051.00521,TEREOS,2015,Air,Protoxyde d'azote (N2O),10400,kg/an
051.00521,TEREOS,2015,Air,CO2 Total d'origine non biomasse uniquement,239000.000,t/an
051.00521,TEREOS,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),469000.000,t/an
051.00521,TEREOS,2015,Air,CO2 Total d'origine biomasse uniquement,230000.000,t/an
051.00521,TEREOS,2015,Eau (direct),Demande chimique en oxygène (DCO),353000,kg/an
051.00536,William Saurin,2015,Air,CO2 Total d'origine non biomasse uniquement,10200.000,t/an
051.00536,William Saurin,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),10200.000,t/an
051.00562,MBK INDUSTRIE,2015,Air,Composés organiques volatils non méthaniques (COVNM),55800,kg/an
051.00756,ATEMAX NORD EST - Usine de Vénérolles,2015,Air,CO2 Total d'origine non biomasse uniquement,15900.000,t/an
051.00756,ATEMAX NORD EST - Usine de Vénérolles,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),15900.000,t/an
051.00757,SAICA VENIZEL,2015,Air,CO2 Total d'origine non biomasse uniquement,65300.000,t/an
051.00757,SAICA VENIZEL,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),65300.000,t/an
051.00757,SAICA VENIZEL,2015,Eau (direct),Demande chimique en oxygène (DCO),353000,kg/an
051.00757,SAICA VENIZEL,2015,Sol,Azote total (N),355000,kg/an
051.00757,SAICA VENIZEL,2015,Sol,Chrome et ses composés (Cr),212,kg/an
051.00757,SAICA VENIZEL,2015,Sol,Cuivre et ses composés (Cu),1270,kg/an
051.00757,SAICA VENIZEL,2015,Sol,Mercure et ses composés (Hg),2.56,kg/an
051.00757,SAICA VENIZEL,2015,Sol,Nickel et ses composés (Ni),116,kg/an
051.00757,SAICA VENIZEL,2015,Sol,Plomb et ses composés (Pb),245,kg/an
051.00757,SAICA VENIZEL,2015,Sol,Zinc et ses composés (Zn),1790,kg/an
051.00850,LAFARGE PLATRES,2015,Air,CO2 Total d'origine non biomasse uniquement,48800.000,t/an
051.00850,LAFARGE PLATRES,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),48800.000,t/an
051.00909,VISKASE,2015,Air,Sulfure de carbone,473000,kg/an
051.00909,VISKASE,2015,Air,Sulfure d'hydrogène (H2S),140000,kg/an
051.00912,AGCO,2015,Air,Composés organiques volatils non méthaniques (COVNM),73600,kg/an
051.00917,SOLABIA,2015,Air,Composés organiques volatils non méthaniques (COVNM),77400,kg/an
051.00918,SPONTEX SAS,2015,Air,Sulfure de carbone,307000,kg/an
051.00918,SPONTEX SAS,2015,Air,Sulfure d'hydrogène (H2S),58400,kg/an
051.00918,SPONTEX SAS,2015,Air,CO2 Total d'origine non biomasse uniquement,30700.000,t/an
051.00918,SPONTEX SAS,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),30700.000,t/an
051.00918,SPONTEX SAS,2015,Eau (direct),Demande biologique en oxygène (DBO5),51300,kg/an
051.00918,SPONTEX SAS,2015,Eau (direct),Demande chimique en oxygène (DCO),171000,kg/an
051.00978,BASF Coatings,2015,Air,Composés organiques volatils non méthaniques (COVNM),52900,kg/an
051.00978,BASF Coatings,2015,Air,Zinc et ses composés (Zn),812,kg/an
051.00993,CHEMTURA France,2015,Air,Composés organiques volatils non méthaniques (COVNM),56100,kg/an
051.01027,SCICA PULPOSEC,2015,Air,CO2 Total d'origine non biomasse uniquement,30900.000,t/an
051.01027,SCICA PULPOSEC,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),30900.000,t/an
051.01029,TEREOS,2015,Air,Oxydes de soufre (SOx - SO2 + SO3) (en eq. SO2),299000,kg/an
051.01029,TEREOS,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),118000,kg/an
051.01029,TEREOS,2015,Air,CO2 Total d'origine non biomasse uniquement,65300.000,t/an
051.01029,TEREOS,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),65300.000,t/an
051.01072,REGEAL,2015,Air,CO2 Total d'origine non biomasse uniquement,15700.000,t/an
051.01072,REGEAL,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),15700.000,t/an
051.01075,cofely chaufferie de Compiègne,2015,Air,CO2 Total d'origine non biomasse uniquement,22200.000,t/an
051.01075,cofely chaufferie de Compiègne,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),22200.000,t/an
051.01102,Chaufferie de la Cavée de Senlis,2015,Air,CO2 Total d'origine non biomasse uniquement,14300.000,t/an
051.01102,Chaufferie de la Cavée de Senlis,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),14300.000,t/an
051.01157,DIOSYNTH France,2015,Air,Composés organiques volatils non méthaniques (COVNM),33800,kg/an
051.01176,SAVERGLASS,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),176000,kg/an
051.01176,SAVERGLASS,2015,Air,CO2 Total d'origine non biomasse uniquement,53600.000,t/an
051.01176,SAVERGLASS,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),53600.000,t/an
051.01189,BIGARD,2015,Eau (indirect),Demande biologique en oxygène (DBO5),53700,kg/an
051.01211,Station de stockage souterrain de GOURNAY-sur-ARONDE,2015,Air,Méthane (CH4),132000,kg/an
051.01211,Station de stockage souterrain de GOURNAY-sur-ARONDE,2015,Air,CO2 Total d'origine non biomasse uniquement,18100.000,t/an
051.01211,Station de stockage souterrain de GOURNAY-sur-ARONDE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),18100.000,t/an
051.01264,MONTUPET,2015,Air,Phénols (Ctotal),1980,kg/an
051.01321,FAURECIA INTERIEUR INDUSTRIE,2015,Air,Composés organiques volatils non méthaniques (COVNM),75800,kg/an
051.01338,PLACOPLATRE,2015,Air,Composés organiques volatils non méthaniques (COVNM),236000,kg/an
051.01363,ArcelorMittal Atlantique et Lorraine,2015,Air,Composés organiques volatils non méthaniques (COVNM),85000,kg/an
051.01363,ArcelorMittal Atlantique et Lorraine,2015,Air,CO2 Total d'origine non biomasse uniquement,60900.000,t/an
051.01363,ArcelorMittal Atlantique et Lorraine,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),60900.000,t/an
051.01410,Chauffage urbain de Nogent sur Oise,2015,Air,CO2 Total d'origine non biomasse uniquement,10000.000,t/an
051.01410,Chauffage urbain de Nogent sur Oise,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),10000.000,t/an
051.01523,BCI usine de Russy-Bémont,2015,Eau (direct),Phosphore total (P),7860,kg/an
051.01523,BCI usine de Russy-Bémont,2015,Sol,Phosphore total (P),7860,kg/an
051.01524,EJ Picardie,2015,Air,CO2 Total d'origine non biomasse uniquement,59600.000,t/an
051.01524,EJ Picardie,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),59600.000,t/an
051.01610,SAINT GOBAIN GLASS FRANCE,2015,Air,Oxydes de soufre (SOx - SO2 + SO3) (en eq. SO2),216000,kg/an
051.01610,SAINT GOBAIN GLASS FRANCE,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),444000,kg/an
051.01610,SAINT GOBAIN GLASS FRANCE,2015,Air,CO2 Total d'origine non biomasse uniquement,86800.000,t/an
051.01610,SAINT GOBAIN GLASS FRANCE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),86800.000,t/an
051.01668,ARKEMA,2015,Air,Composés organiques volatils non méthaniques (COVNM),38300,kg/an
051.01699,Société Flandres Picardie Lait,2015,Eau (indirect),Demande biologique en oxygène (DBO5),182000,kg/an
051.01699,Société Flandres Picardie Lait,2015,Eau (indirect),Demande chimique en oxygène (DCO),463000,kg/an
051.01699,Société Flandres Picardie Lait,2015,Eau (indirect),Phosphore total (P),8120,kg/an
051.01758,UPCL,2015,Eau (indirect),Demande biologique en oxygène (DBO5),89500,kg/an
051.01758,UPCL,2015,Eau (indirect),Demande chimique en oxygène (DCO),160000,kg/an
051.01812,Chaufferie de la Zup d'Etouvie,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),10600.000,t/an
051.01812,Chaufferie de la Zup d'Etouvie,2015,Air,CO2 Total d'origine biomasse uniquement,10600.000,t/an
051.01887,AJINOMOTO EUROLYSINE S.A.S.,2015,Air,Hydroflurocarbures (HFC),299,kg/an
051.01887,AJINOMOTO EUROLYSINE S.A.S.,2015,Air,CO2 Total d'origine non biomasse uniquement,51400.000,t/an
051.01887,AJINOMOTO EUROLYSINE S.A.S.,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),51400.000,t/an
051.01887,AJINOMOTO EUROLYSINE S.A.S.,2015,Eau (direct),Demande chimique en oxygène (DCO),263000,kg/an
051.01887,AJINOMOTO EUROLYSINE S.A.S.,2015,Sol,Azote total (N),344000,kg/an
051.01887,AJINOMOTO EUROLYSINE S.A.S.,2015,Sol,Chrome et ses composés (Cr),187,kg/an
051.01887,AJINOMOTO EUROLYSINE S.A.S.,2015,Sol,Cuivre et ses composés (Cu),138,kg/an
051.01887,AJINOMOTO EUROLYSINE S.A.S.,2015,Sol,Fer et ses composés (Fe),166000,kg/an
051.01887,AJINOMOTO EUROLYSINE S.A.S.,2015,Sol,Manganèse et ses composés (Mn),1200,kg/an
051.01887,AJINOMOTO EUROLYSINE S.A.S.,2015,Sol,Nickel et ses composés (Ni),109,kg/an
051.01887,AJINOMOTO EUROLYSINE S.A.S.,2015,Sol,Phosphore total (P),201000,kg/an
051.01887,AJINOMOTO EUROLYSINE S.A.S.,2015,Sol,Zinc et ses composés (Zn),585,kg/an
051.01900,Chaufferie de l'OPAC du nord : Le Pigeonnier,2015,Air,CO2 Total d'origine non biomasse uniquement,15800.000,t/an
051.01900,Chaufferie de l'OPAC du nord : Le Pigeonnier,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),15800.000,t/an
051.01904,Procter et Gamble Amiens SAS,2015,Air,CO2 Total d'origine non biomasse uniquement,13000.000,t/an
051.01904,Procter et Gamble Amiens SAS,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),13000.000,t/an
051.01904,Procter et Gamble Amiens SAS,2015,Eau (indirect),Demande biologique en oxygène (DBO5),43500,kg/an
051.01917,WHIRLPOOL,2015,Air,Hydroflurocarbures (HFC),1820,kg/an
051.02011,PARICHE,2015,Air,Composés organiques volatils non méthaniques (COVNM),36600,kg/an
051.02027,secode,2015,Air,Méthane (CH4),823000,kg/an
051.02027,secode,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),25900.000,t/an
051.02027,secode,2015,Air,CO2 Total d'origine biomasse uniquement,25900.000,t/an
051.02078,DS Smith Packaging Contoire Hamel,2015,Air,CO2 Total d'origine non biomasse uniquement,26100.000,t/an
051.02078,DS Smith Packaging Contoire Hamel,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),26100.000,t/an
051.02147,SICA PULPES DE HAUTE PICARDIE,2015,Air,CO2 Total d'origine non biomasse uniquement,27600.000,t/an
051.02147,SICA PULPES DE HAUTE PICARDIE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),27600.000,t/an
051.02153,SAINT LOUIS SUCRE,2015,Air,Composés organiques volatils non méthaniques (COVNM),57800,kg/an
051.02153,SAINT LOUIS SUCRE,2015,Air,Oxydes de soufre (SOx - SO2 + SO3) (en eq. SO2),206000,kg/an
051.02153,SAINT LOUIS SUCRE,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),250000,kg/an
051.02153,SAINT LOUIS SUCRE,2015,Air,CO2 Total d'origine non biomasse uniquement,144000.000,t/an
051.02153,SAINT LOUIS SUCRE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),203000.000,t/an
051.02153,SAINT LOUIS SUCRE,2015,Air,CO2 Total d'origine biomasse uniquement,58400.000,t/an
051.02302,SPCH,2015,Air,Mercure et ses composés (Hg),16.1,kg/an
051.02302,SPCH,2015,Eau (indirect),Mercure et ses composés (Hg),2.38,kg/an
051.02308,SMIRTOM Picardie Ouest - site de Thieulloy l'Abbaye,2015,Air,Méthane (CH4),577000,kg/an
051.02355,AEROLIA - Etablissement de MEAULTE,2015,Air,Composés organiques volatils non méthaniques (COVNM),52100,kg/an
051.02362,AJINOMOTO FOODS EUROPE SAS,2015,Eau (indirect),Azote total (N),399000,kg/an
051.02362,AJINOMOTO FOODS EUROPE SAS,2015,Eau (indirect),Demande chimique en oxygène (DCO),2020000,kg/an
051.02372,Installation de stocakge de déchets de Mons Boubert,2015,Air,Méthane (CH4),325000,kg/an
051.02374,BCI- Usine d'ESTREES MONS,2015,Eau (direct),Demande biologique en oxygène (DBO5),49100,kg/an
051.02374,BCI- Usine d'ESTREES MONS,2015,Eau (direct),Phosphore total (P),5080,kg/an
051.02391,SA UGEPA,2015,Air,Composés organiques volatils non méthaniques (COVNM),38400,kg/an
051.02404,Tereos Syral SAS Etablissement de NESLE,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),226000,kg/an
051.02404,Tereos Syral SAS Etablissement de NESLE,2015,Air,CO2 Total d'origine non biomasse uniquement,215000.000,t/an
051.02404,Tereos Syral SAS Etablissement de NESLE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),215000.000,t/an
051.02404,Tereos Syral SAS Etablissement de NESLE,2015,Sol,Chrome et ses composés (Cr),83.7,kg/an
051.02404,Tereos Syral SAS Etablissement de NESLE,2015,Sol,Cuivre et ses composés (Cu),65,kg/an
051.02404,Tereos Syral SAS Etablissement de NESLE,2015,Sol,Mercure et ses composés (Hg),1.2,kg/an
051.02404,Tereos Syral SAS Etablissement de NESLE,2015,Sol,Nickel et ses composés (Ni),29.3,kg/an
051.02404,Tereos Syral SAS Etablissement de NESLE,2015,Sol,Plomb et ses composés (Pb),46,kg/an
051.02404,Tereos Syral SAS Etablissement de NESLE,2015,Sol,Zinc et ses composés (Zn),563,kg/an
051.02417,CSDU NURLU,2015,Air,Méthane (CH4),669000,kg/an
051.02505,ROYE sucrerie et conditionnement,2015,Air,CO2 Total d'origine non biomasse uniquement,64500.000,t/an
051.02505,ROYE sucrerie et conditionnement,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),64500.000,t/an
051.02507,DESHYDRATATION DE PULPES SUCRERIE ROYE,2015,Air,CO2 Total d'origine non biomasse uniquement,30700.000,t/an
051.02507,DESHYDRATATION DE PULPES SUCRERIE ROYE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),30700.000,t/an
051.02581,ROQUETTE FRERES - usine de VECQUEMONT,2015,Air,CO2 Total d'origine non biomasse uniquement,34500.000,t/an
051.02581,ROQUETTE FRERES - usine de VECQUEMONT,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),34500.000,t/an
051.02581,ROQUETTE FRERES - usine de VECQUEMONT,2015,Sol,Azote total (N),423000,kg/an
051.02581,ROQUETTE FRERES - usine de VECQUEMONT,2015,Sol,Chrome et ses composés (Cr),71.2,kg/an
051.02581,ROQUETTE FRERES - usine de VECQUEMONT,2015,Sol,Cuivre et ses composés (Cu),211,kg/an
051.02581,ROQUETTE FRERES - usine de VECQUEMONT,2015,Sol,Nickel et ses composés (Ni),68.9,kg/an
051.02581,ROQUETTE FRERES - usine de VECQUEMONT,2015,Sol,Nonylphénols,2.4,kg/an
051.02581,ROQUETTE FRERES - usine de VECQUEMONT,2015,Sol,Phosphore total (P),99700,kg/an
051.02581,ROQUETTE FRERES - usine de VECQUEMONT,2015,Sol,Zinc et ses composés (Zn),1170,kg/an
051.02587,RKW SFE SAS,2015,Air,Composés organiques volatils non méthaniques (COVNM),130000,kg/an
051.02598,Société Vermandoise Industries,2015,Air,Oxydes de soufre (SOx - SO2 + SO3) (en eq. SO2),431000,kg/an
051.02598,Société Vermandoise Industries,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),150000,kg/an
051.02598,Société Vermandoise Industries,2015,Air,CO2 Total d'origine non biomasse uniquement,77600.000,t/an
051.02598,Société Vermandoise Industries,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),77600.000,t/an
051.02598,Société Vermandoise Industries,2015,Sol,Arsenic et ses composés (As),12.1,kg/an
051.02598,Société Vermandoise Industries,2015,Sol,Zinc et ses composés (Zn),408,kg/an
051.03204,IMERYS-TC (IMERYS-TOITURE),2015,Air,CO2 Total d'origine non biomasse uniquement,31600.000,t/an
051.03204,IMERYS-TC (IMERYS-TOITURE),2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),31600.000,t/an
051.03651,TIMAC AGRO,2015,Air,Ammoniac (NH3),27300,kg/an
051.03657,FLINT GROUP France sas,2015,Air,Composés organiques volatils non méthaniques (COVNM),135000,kg/an
051.03728,SOCOPIC - Centrale thermique d'Eurolysine,2015,Air,CO2 Total d'origine non biomasse uniquement,81800.000,t/an
051.03728,SOCOPIC - Centrale thermique d'Eurolysine,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),81800.000,t/an
051.03811,ESIANE,2015,Air,Oxydes d'azote (NOx - NO + NO2) (en eq. NO2),265000,kg/an
051.03811,ESIANE,2015,Air,CO2 Total d'origine non biomasse uniquement,57700.000,t/an
051.03811,ESIANE,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),133000.000,t/an
051.03811,ESIANE,2015,Air,CO2 Total d'origine biomasse uniquement,75700.000,t/an
051.03936,AGRIVAL,2015,Air,Ammoniac (NH3),16200,kg/an
051.05074,GURDEBEKE SA (Centre de LIHONS 80),2015,Air,Méthane (CH4),182000,kg/an
051.05241,COGELYO NORD EST - Goodyear,2015,Air,CO2 Total d'origine non biomasse uniquement,23500.000,t/an
051.05241,COGELYO NORD EST - Goodyear,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),23500.000,t/an
051.05439,BIC RASOIRS,2015,Air,Trichloroéthylène (TRI),5990,kg/an
051.05511,GRT Gaz,2015,Air,Méthane (CH4),199000,kg/an
051.05624,Siniat RANTIGNY,2015,Air,Composés organiques volatils non méthaniques (COVNM),146000,kg/an
051.05788,CLARIANT SPECIALITY FINE CHEMICALS,2015,Air,Composés organiques volatils non méthaniques (COVNM),116000,kg/an
051.05788,CLARIANT SPECIALITY FINE CHEMICALS,2015,Air,Oxydes de soufre (SOx - SO2 + SO3) (en eq. SO2),446000,kg/an
051.05788,CLARIANT SPECIALITY FINE CHEMICALS,2015,Air,Protoxyde d'azote (N2O),914000,kg/an
051.05788,CLARIANT SPECIALITY FINE CHEMICALS,2015,Air,CO2 Total d'origine non biomasse uniquement,18600.000,t/an
051.05788,CLARIANT SPECIALITY FINE CHEMICALS,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),18600.000,t/an
051.05788,CLARIANT SPECIALITY FINE CHEMICALS,2015,Eau (direct),Cadmium et ses composés (Cd),3.4,kg/an
051.05788,CLARIANT SPECIALITY FINE CHEMICALS,2015,Eau (direct),Chlorures (Cl total),3150.000,t/an
051.05788,CLARIANT SPECIALITY FINE CHEMICALS,2015,Eau (direct),Demande chimique en oxygène (DCO),335000,kg/an
051.05788,CLARIANT SPECIALITY FINE CHEMICALS,2015,Eau (direct),Mercure et ses composés (Hg),4.24,kg/an
051.05788,CLARIANT SPECIALITY FINE CHEMICALS,2015,Eau (direct),Nickel et ses composés (Ni),87.3,kg/an
051.05788,CLARIANT SPECIALITY FINE CHEMICALS,2015,Eau (direct),Phénols (Ctotal),84,kg/an
051.05839,Momentive SPECIALTY CHEMICALS France,2015,Air,CO2 Total d'origine non biomasse uniquement,16000.000,t/an
051.05839,Momentive SPECIALTY CHEMICALS France,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),16000.000,t/an
051.06008,VALOR'AISNE,2015,Air,Méthane (CH4),205000,kg/an
051.06026,ONDEO INDUSTRIAL SOLUTIONS,2015,Eau (direct),Zinc et ses composés (Zn),200,kg/an
051.06416,SEDE ENVIRONNEMENT,2015,Air,Ammoniac (NH3),12800,kg/an
051.06517,VALNOR,2015,Air,Méthane (CH4),1140000,kg/an
051.06517,VALNOR,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),31400.000,t/an
051.06517,VALNOR,2015,Air,CO2 Total d'origine biomasse uniquement,31400.000,t/an
051.06523,ISDND SPAT SAINT MAXIMIN,2015,Air,Méthane (CH4),551000,kg/an
051.06523,ISDND SPAT SAINT MAXIMIN,2015,Air,CO2 Total (CO2 d'origine biomasse et non biomasse),15400.000,t/an
051.06523,ISDND SPAT SAINT MAXIMIN,2015,Air,CO2 Total d'origine biomasse uniquement,15400.000,t/an
